[2025-07-18 08:48:34.897439] [p-6272] [t-1852] [info] keyboard-manager logger is initialized
[2025-07-18 08:48:35.048337] [p-6272] [t-1852] [trace] SettingsHelper::LoadSettings()
[2025-07-18 14:39:34.616693] [p-11796] [t-28520] [info] keyboard-manager logger is initialized
[2025-07-18 14:39:34.693046] [p-11796] [t-28520] [trace] SettingsHelper::LoadSettings()
[2025-07-18 15:09:57.168863] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:13:15.942276] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:13:27.037265] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:13:27.373524] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:13:28.148261] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:13:31.119141] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:42:22.718780] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:42:32.370430] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 15:54:54.473082] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 15:55:18.795689] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 15:58:58.208005] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 16:32:53.899160] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:47:02.619201] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:51:15.252082] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:6
[2025-07-18 18:51:56.991824] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:52:43.136214] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:52:48.529731] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:54:30.027900] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:54:32.482310] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:54:57.013936] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:55:08.999067] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:55:36.104441] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:55:51.635603] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 18:55:53.157918] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 18:56:01.875149] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:56:23.003923] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:56:34.888525] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 18:56:41.651946] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 18:56:42.869266] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 18:56:51.134396] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:57:14.673532] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:58:23.357550] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:59:47.663735] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:59:54.392471] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 18:59:57.236116] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:00:30.720469] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:00:43.230510] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:13:26.370009] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:14:13.759655] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:14:24.055341] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:15:20.396396] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:15:54.628433] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:16:13.573777] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:16:18.417381] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:16:49.264843] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:6
[2025-07-18 19:17:24.500414] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:17:53.771398] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:20:45.116725] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:21:38.779448] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:21:40.255534] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:22:28.481021] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:23:19.456388] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:24:03.544197] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:24:06.609856] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:24:08.227403] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:25:30.372432] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:33:20.766781] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:33:35.495442] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:39:36.550053] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:39:58.723000] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:39:59.956454] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:40:00.609940] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:40:34.243549] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:5
[2025-07-18 19:40:46.999948] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
[2025-07-18 19:40:47.182632] [p-11796] [t-28520] [trace] ChordKeyboardHandler:keyEventList.size:4
